date,price,,,,,,,,,
2012/7/4,6.50 ,,,,,,,,,
2012/7/5,6.70 ,,,,,,,,,
2012/7/6,6.70 ,,,,,,,,,
2012/7/7,6.80 ,,,,,,,,,
2012/7/8,6.80 ,,,,,,,,,
2012/7/9,7.00 ,,,,,,,,,
2012/7/10,7.20 ,,,,,,,,,
2012/7/11,7.20 ,,,,,,,,,
2012/7/12,7.80 ,,,,,,,,,
2012/7/13,7.70 ,,,,,,,,,
2012/7/14,7.50 ,,,,,,,,,
2012/7/15,7.60 ,,,,,,,,,
2012/7/16,8.50 ,,,,,,,,,
2012/7/17,8.80 ,,,,,,,,,
2012/7/18,9.10 ,,,,,,,,,
2012/7/19,8.90 ,,,,,,,,,
2012/7/20,8.50 ,,,,,,,,,
2012/7/21,8.90 ,,,,,,,,,
2012/7/22,8.40 ,,,,,,,,,
2012/7/23,8.40 ,,,,,,,,,
2012/7/24,8.60 ,,,,,,,,,
2012/7/25,8.80 ,,,,,,,,,
2012/7/26,8.90 ,,,,,,,,,
2012/7/27,8.90 ,,,,,,,,,
2012/7/28,8.90 ,,,,,,,,,
2012/7/29,8.70 ,,,,,,,,,
2012/7/30,9.10 ,,,,,,,,,
2012/7/31,9.40 ,,,,,,,,,
2012/8/1,9.60 ,,,,,,,,,
2012/8/2,10.50 ,,,,,,,,,
2012/8/3,11.00 ,,,,,,,,,
2012/8/4,11.00 ,,,,,,,,,
2012/8/5,10.90 ,,,,,,,,,
2012/8/6,10.90 ,,,,,,,,,
2012/8/7,11.10 ,,,,,,,,,
2012/8/8,11.10 ,,,,,,,,,
2012/8/9,11.10 ,,,,,,,,,
2012/8/10,11.40 ,,,,,,,,,
2012/8/11,11.50 ,,,,,,,,,
2012/8/12,11.60 ,,,,,,,,,
2012/8/13,12.00 ,,,,,,,,,
2012/8/14,12.20 ,,,,,,,,,
2012/8/15,13.30 ,,,,,,,,,
2012/8/16,13.50 ,,,,,,,,,
2012/8/17,11.60 ,,,,,,,,,
2012/8/18,11.60 ,,,,,,,,,
2012/8/19,8.00 ,,,,,,,,,
2012/8/20,10.10 ,,,,,,,,,
2012/8/21,9.90 ,,,,,,,,,
2012/8/22,9.80 ,,,,,,,,,
2012/8/23,10.10 ,,,,,,,,,
2012/8/24,10.60 ,,,,,,,,,
2012/8/25,10.50 ,,,,,,,,,
2012/8/26,10.60 ,,,,,,,,,
2012/8/27,10.90 ,,,,,,,,,
2012/8/28,10.90 ,,,,,,,,,
2012/8/29,10.90 ,,,,,,,,,
2012/8/30,10.80 ,,,,,,,,,
2012/8/31,10.20 ,,,,,,,,,
2012/9/1,10.00 ,,,,,,,,,
2012/9/2,10.20 ,,,,,,,,,
2012/9/3,10.50 ,,,,,,,,,
2012/9/4,10.40 ,,,,,,,,,
2012/9/5,11.00 ,,,,,,,,,
2012/9/6,11.20 ,,,,,,,,,
2012/9/7,11.00 ,,,,,,,,,
2012/9/8,11.00 ,,,,,,,,,
2012/9/9,11.00 ,,,,,,,,,
2012/9/10,11.20 ,,,,,,,,,
2012/9/11,11.30 ,,,,,,,,,
2012/9/12,11.40 ,,,,,,,,,
2012/9/13,11.40 ,,,,,,,,,
2012/9/14,11.70 ,,,,,,,,,
2012/9/15,11.80 ,,,,,,,,,
2012/9/16,11.90 ,,,,,,,,,
2012/9/17,11.90 ,,,,,,,,,
2012/9/18,12.30 ,,,,,,,,,
2012/9/19,12.60 ,,,,,,,,,
2012/9/20,12.30 ,,,,,,,,,
2012/9/21,12.40 ,,,,,,,,,
2012/9/22,12.20 ,,,,,,,,,
2012/9/23,12.20 ,,,,,,,,,
2012/9/24,12.10 ,,,,,,,,,
2012/9/25,12.20 ,,,,,,,,,
2012/9/26,12.30 ,,,,,,,,,
2012/9/27,12.30 ,,,,,,,,,
2012/9/28,12.40 ,,,,,,,,,
2012/9/29,12.40 ,,,,,,,,,
2012/9/30,12.40 ,,,,,,,,,
2012/10/1,12.40 ,,,,,,,,,
2012/10/2,12.80 ,,,,,,,,,
2012/10/3,12.90 ,,,,,,,,,
2012/10/4,12.90 ,,,,,,,,,
2012/10/5,12.70 ,,,,,,,,,
2012/10/6,12.50 ,,,,,,,,,
2012/10/7,11.80 ,,,,,,,,,
2012/10/8,11.80 ,,,,,,,,,
2012/10/9,11.90 ,,,,,,,,,
2012/10/10,12.10 ,,,,,,,,,
2012/10/11,12.00 ,,,,,,,,,
2012/10/12,12.00 ,,,,,,,,,
2012/10/13,11.90 ,,,,,,,,,
2012/10/14,11.70 ,,,,,,,,,
2012/10/15,11.80 ,,,,,,,,,
2012/10/16,11.90 ,,,,,,,,,
2012/10/17,11.80 ,,,,,,,,,
2012/10/18,11.90 ,,,,,,,,,
2012/10/19,11.70 ,,,,,,,,,
2012/10/20,11.70 ,,,,,,,,,
2012/10/21,11.60 ,,,,,,,,,
2012/10/22,11.70 ,,,,,,,,,
2012/10/23,11.60 ,,,,,,,,,
2012/10/24,11.60 ,,,,,,,,,
2012/10/25,10.90 ,,,,,,,,,
2012/10/26,10.20 ,,,,,,,,,
2012/10/27,10.30 ,,,,,,,,,
2012/10/28,10.70 ,,,,,,,,,
2012/10/29,10.60 ,,,,,,,,,
2012/10/30,10.90 ,,,,,,,,,
2012/10/31,11.20 ,,,,,,,,,
2012/11/1,10.60 ,,,,,,,,,
2012/11/2,10.50 ,,,,,,,,,
2012/11/3,10.60 ,,,,,,,,,
2012/11/4,10.80 ,,,,,,,,,
2012/11/5,10.80 ,,,,,,,,,
2012/11/6,10.90 ,,,,,,,,,
2012/11/7,10.90 ,,,,,,,,,
2012/11/8,10.90 ,,,,,,,,,
2012/11/9,10.80 ,,,,,,,,,
2012/11/10,10.90 ,,,,,,,,,
2012/11/11,10.90 ,,,,,,,,,
2012/11/12,11.00 ,,,,,,,,,
2012/11/13,10.90 ,,,,,,,,,
2012/11/14,10.90 ,,,,,,,,,
2012/11/15,11.20 ,,,,,,,,,
2012/11/16,11.80 ,,,,,,,,,
2012/11/17,11.80 ,,,,,,,,,
2012/11/18,11.60 ,,,,,,,,,
2012/11/19,11.80 ,,,,,,,,,
2012/11/20,11.70 ,,,,,,,,,
2012/11/21,11.80 ,,,,,,,,,
2012/11/22,12.40 ,,,,,,,,,
2012/11/23,12.40 ,,,,,,,,,
2012/11/24,12.40 ,,,,,,,,,
2012/11/25,12.50 ,,,,,,,,,
2012/11/26,12.30 ,,,,,,,,,
2012/11/27,12.20 ,,,,,,,,,
2012/11/28,12.40 ,,,,,,,,,
2012/11/29,12.40 ,,,,,,,,,
2012/11/30,12.60 ,,,,,,,,,
2012/12/1,12.60 ,,,,,,,,,
2012/12/2,12.50 ,,,,,,,,,
2012/12/3,12.70 ,,,,,,,,,
2012/12/4,13.40 ,,,,,,,,,
2012/12/5,13.40 ,,,,,,,,,
2012/12/6,13.30 ,,,,,,,,,
2012/12/7,13.50 ,,,,,,,,,
2012/12/8,13.40 ,,,,,,,,,
2012/12/9,13.40 ,,,,,,,,,
2012/12/10,13.40 ,,,,,,,,,
2012/12/11,13.60 ,,,,,,,,,
2012/12/12,13.70 ,,,,,,,,,
2012/12/13,13.70 ,,,,,,,,,
2012/12/14,13.60 ,,,,,,,,,
2012/12/15,13.50 ,,,,,,,,,
2012/12/16,13.30 ,,,,,,,,,
2012/12/17,13.30 ,,,,,,,,,
2012/12/18,13.30 ,,,,,,,,,
2012/12/19,13.60 ,,,,,,,,,
2012/12/20,13.50 ,,,,,,,,,
2012/12/21,13.50 ,,,,,,,,,
2012/12/22,13.40 ,,,,,,,,,
2012/12/23,13.30 ,,,,,,,,,
2012/12/24,13.40 ,,,,,,,,,
2012/12/25,13.40 ,,,,,,,,,
2012/12/26,13.50 ,,,,,,,,,
2012/12/27,13.40 ,,,,,,,,,
2012/12/28,13.40 ,,,,,,,,,
2012/12/29,13.40 ,,,,,,,,,
2012/12/30,13.40 ,,,,,,,,,
2012/12/31,13.50 ,,,,,,,,,
2013/1/1,13.30 ,,,,,,,,,
2013/1/2,13.30 ,,,,,,,,,
2013/1/3,13.40 ,,,,,,,,,
2013/1/4,13.50 ,,,,,,,,,
2013/1/5,13.40 ,,,,,,,,,
2013/1/6,13.40 ,,,,,,,,,
2013/1/7,13.60 ,,,,,,,,,
2013/1/8,13.70 ,,,,,,,,,
2013/1/9,13.80 ,,,,,,,,,
2013/1/10,14.10 ,,,,,,,,,
2013/1/11,14.10 ,,,,,,,,,
2013/1/12,14.20 ,,,,,,,,,
2013/1/13,14.10 ,,,,,,,,,
2013/1/14,14.30 ,,,,,,,,,
2013/1/15,14.30 ,,,,,,,,,
2013/1/16,14.70 ,,,,,,,,,
2013/1/17,15.50 ,,,,,,,,,
2013/1/18,15.70 ,,,,,,,,,
2013/1/19,15.60 ,,,,,,,,,
2013/1/20,15.70 ,,,,,,,,,
2013/1/21,16.80 ,,,,,,,,,
2013/1/22,17.30 ,,,,,,,,,
2013/1/23,17.50 ,,,,,,,,,
2013/1/24,16.90 ,,,,,,,,,
2013/1/25,17.40 ,,,,,,,,,
2013/1/26,17.90 ,,,,,,,,,
2013/1/27,17.80 ,,,,,,,,,
2013/1/28,18.70 ,,,,,,,,,
2013/1/29,19.50 ,,,,,,,,,
2013/1/30,19.70 ,,,,,,,,,
2013/1/31,20.40 ,,,,,,,,,
2013/2/1,20.50 ,,,,,,,,,
2013/2/2,19.60 ,,,,,,,,,
2013/2/3,20.60 ,,,,,,,,,
2013/2/4,20.40 ,,,,,,,,,
2013/2/5,20.60 ,,,,,,,,,
2013/2/6,21.20 ,,,,,,,,,
2013/2/7,22.10 ,,,,,,,,,
2013/2/8,22.70 ,,,,,,,,,
2013/2/9,23.60 ,,,,,,,,,
2013/2/10,24.00 ,,,,,,,,,
2013/2/11,24.60 ,,,,,,,,,
2013/2/12,25.20 ,,,,,,,,,
2013/2/13,24.20 ,,,,,,,,,
2013/2/14,27.20 ,,,,,,,,,
2013/2/15,27.10 ,,,,,,,,,
2013/2/16,27.20 ,,,,,,,,,
2013/2/17,26.80 ,,,,,,,,,
2013/2/18,27.00 ,,,,,,,,,
2013/2/19,29.40 ,,,,,,,,,
2013/2/20,29.60 ,,,,,,,,,
2013/2/21,29.80 ,,,,,,,,,
2013/2/22,30.30 ,,,,,,,,,
2013/2/23,29.80 ,,,,,,,,,
2013/2/24,29.90 ,,,,,,,,,
2013/2/25,30.40 ,,,,,,,,,
2013/2/26,31.10 ,,,,,,,,,
2013/2/27,30.90 ,,,,,,,,,
2013/2/28,33.40 ,,,,,,,,,
2013/3/1,34.50 ,,,,,,,,,
2013/3/2,34.30 ,,,,,,,,,
2013/3/3,34.50 ,,,,,,,,,
2013/3/4,36.20 ,,,,,,,,,
2013/3/5,40.30 ,,,,,,,,,
2013/3/6,41.00 ,,,,,,,,,
2013/3/7,42.00 ,,,,,,,,,
2013/3/8,44.20 ,,,,,,,,,
2013/3/9,46.80 ,,,,,,,,,
2013/3/10,46.00 ,,,,,,,,,
2013/3/11,48.40 ,,,,,,,,,
2013/3/12,44.30 ,,,,,,,,,
