日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2014/4/1,,Cash,,,,,600000,,,,,,,,
2014/4/2,,Cash,,,,,600000,,,,,,,,
2014/4/3,股票,招商银行(600036.XSHG),多,6000股,0股,9.88,59280,-60,9.89,-,0,-60,6000股,-0.10%,9.89%
2014/4/3,股票,长江电力(600900.XSHG),多,5200股,0股,5.82,30264,-104,5.84,-,0,-104,5200股,-0.34%,5.05%
2014/4/3,股票,宁波银行(002142.XSHE),多,6700股,0股,8.85,59295,0,8.85,-,0,0,6700股,0%,9.90%
2014/4/3,股票,上海机场(600009.XSHG),多,1200股,0股,12.51,15012,36,12.48,-,0,36,1200股,0.24%,2.51%
2014/4/3,股票,万科A(000002.XSHE),多,7300股,0股,8.1,59130,-219,8.13,-,0,-219,7300股,-0.37%,9.87%
2014/4/3,股票,格力电器(000651.XSHE),多,2000股,0股,27.9,55800,-360,28.08,-,0,-360,2000股,-0.64%,9.31%
2014/4/3,,Cash,,,,,320427.65,,,,,,,,
2014/4/4,股票,招商银行(600036.XSHG),多,6000股,6000股,9.95,59700,360,9.89,-,0,420,0股,0.61%,9.93%
2014/4/4,股票,长江电力(600900.XSHG),多,5200股,5200股,5.87,30524,156,5.84,-,0,260,0股,0.51%,5.08%
2014/4/4,股票,宁波银行(002142.XSHE),多,6700股,6700股,8.86,59362,67,8.85,-,0,67,0股,0.11%,9.87%
2014/4/4,股票,上海机场(600009.XSHG),多,1200股,1200股,12.54,15048,72,12.48,-,0,36,0股,0.48%,2.50%
2014/4/4,股票,万科A(000002.XSHE),多,7300股,7300股,8.11,59203,-146,8.13,-,0,73,0股,-0.25%,9.85%
2014/4/4,股票,格力电器(000651.XSHE),多,2000股,2000股,28.47,56940,780,28.08,-,0,1140,0股,1.39%,9.47%
2014/4/4,,Cash,,,,,320427.65,,,,,,,,
2014/4/8,股票,招商银行(600036.XSHG),多,6000股,6000股,10.24,61440,2100,9.89,-,0,1740,0股,3.54%,10.11%
2014/4/8,股票,长江电力(600900.XSHG),多,5200股,5200股,5.93,30836,468,5.84,-,0,312,0股,1.54%,5.07%
2014/4/8,股票,宁波银行(002142.XSHE),多,6700股,6700股,9.14,61238,1943,8.85,-,0,1876,0股,3.28%,10.08%
2014/4/8,股票,上海机场(600009.XSHG),多,1200股,1200股,12.74,15288,312,12.48,-,0,240,0股,2.08%,2.52%
2014/4/8,股票,万科A(000002.XSHE),多,7300股,7300股,8.15,59495,146,8.13,-,0,292,0股,0.25%,9.79%
2014/4/8,股票,格力电器(000651.XSHE),多,2000股,2000股,29.49,58980,2820,28.08,-,0,2040,0股,5.02%,9.71%
2014/4/8,,Cash,,,,,320427.65,,,,,,,,
2014/4/9,股票,招商银行(600036.XSHG),多,6000股,6000股,10.18,61080,1740,9.89,-,0,-360,0股,2.93%,10.06%
2014/4/9,股票,长江电力(600900.XSHG),多,5200股,5200股,5.91,30732,364,5.84,-,0,-104,0股,1.20%,5.06%
2014/4/9,股票,宁波银行(002142.XSHE),多,6700股,6700股,9.08,60836,1541,8.85,-,0,-402,0股,2.60%,10.02%
2014/4/9,股票,上海机场(600009.XSHG),多,1200股,1200股,12.82,15384,408,12.48,-,0,96,0股,2.72%,2.53%
2014/4/9,股票,万科A(000002.XSHE),多,7300股,7300股,8.05,58765,-584,8.13,-,0,-730,0股,-0.98%,9.68%
2014/4/9,股票,格力电器(000651.XSHE),多,2000股,2000股,29.95,59900,3740,28.08,-,0,920,0股,6.66%,9.87%
2014/4/9,,Cash,,,,,320427.65,,,,,,,,
2014/4/10,股票,招商银行(600036.XSHG),多,6000股,6000股,10.41,62460,3120,9.89,-,0,1380,0股,5.26%,10.24%
2014/4/10,股票,长江电力(600900.XSHG),多,5200股,5200股,5.98,31096,728,5.84,-,0,364,0股,2.40%,5.10%
2014/4/10,股票,宁波银行(002142.XSHE),多,6700股,6700股,9.16,61372,2077,8.85,-,0,536,0股,3.50%,10.06%
2014/4/10,股票,上海机场(600009.XSHG),多,1200股,1200股,13.01,15612,636,12.48,-,0,228,0股,4.25%,2.56%
2014/4/10,股票,万科A(000002.XSHE),多,7300股,7300股,8.05,58765,-584,8.13,-,0,0,0股,-0.98%,9.63%
2014/4/10,股票,格力电器(000651.XSHE),多,2000股,2000股,30.21,60420,4260,28.08,-,0,520,0股,7.59%,9.90%
2014/4/10,,Cash,,,,,320427.65,,,,,,,,
2014/4/11,股票,招商银行(600036.XSHG),多,6000股,6000股,10.39,62340,3000,9.89,-,0,-120,0股,5.06%,10.18%
2014/4/11,股票,长江电力(600900.XSHG),多,5200股,5200股,6.07,31564,1196,5.84,-,0,468,0股,3.94%,5.15%
2014/4/11,股票,宁波银行(002142.XSHE),多,6700股,6700股,9.17,61439,2144,8.85,-,0,67,0股,3.62%,10.03%
2014/4/11,股票,上海机场(600009.XSHG),多,1200股,1200股,13.35,16020,1044,12.48,-,0,408,0股,6.97%,2.62%
2014/4/11,股票,万科A(000002.XSHE),多,7300股,7300股,7.95,58035,-1314,8.13,-,0,-730,0股,-2.21%,9.48%
2014/4/11,股票,格力电器(000651.XSHE),多,2000股,2000股,31.31,62620,6460,28.08,-,0,2200,0股,11.50%,10.22%
2014/4/11,,Cash,,,,,320427.65,,,,,,,,
2014/4/14,股票,招商银行(600036.XSHG),多,6000股,6000股,10.31,61860,2520,9.89,-,0,-480,0股,4.25%,10.13%
2014/4/14,股票,长江电力(600900.XSHG),多,5200股,5200股,6.01,31252,884,5.84,-,0,-312,0股,2.91%,5.12%
2014/4/14,股票,宁波银行(002142.XSHE),多,6700股,6700股,9.08,60836,1541,8.85,-,0,-603,0股,2.60%,9.97%
2014/4/14,股票,上海机场(600009.XSHG),多,1200股,1200股,13.26,15912,936,12.48,-,0,-108,0股,6.25%,2.61%
2014/4/14,股票,万科A(000002.XSHE),多,7300股,7300股,7.93,57889,-1460,8.13,-,0,-146,0股,-2.46%,9.48%
2014/4/14,股票,格力电器(000651.XSHE),多,2000股,2000股,31.1,62200,6040,28.08,-,0,-420,0股,10.75%,10.19%
2014/4/14,,Cash,,,,,320427.65,,,,,,,,
2014/4/15,股票,招商银行(600036.XSHG),多,6000股,6000股,10.06,60360,1020,9.89,-,0,-1500,0股,1.72%,9.99%
2014/4/15,股票,长江电力(600900.XSHG),多,5200股,5200股,5.96,30992,624,5.84,-,0,-260,0股,2.05%,5.13%
2014/4/15,股票,宁波银行(002142.XSHE),多,6700股,6700股,8.94,59898,603,8.85,-,0,-938,0股,1.02%,9.91%
2014/4/15,股票,上海机场(600009.XSHG),多,1200股,1200股,13.07,15684,708,12.48,-,0,-228,0股,4.73%,2.60%
2014/4/15,股票,万科A(000002.XSHE),多,7300股,7300股,7.76,56648,-2701,8.13,-,0,-1241,0股,-4.55%,9.37%
2014/4/15,股票,格力电器(000651.XSHE),多,2000股,2000股,30.12,60240,4080,28.08,-,0,-1960,0股,7.26%,9.97%
2014/4/15,,Cash,,,,,320427.65,,,,,,,,
2014/4/16,股票,招商银行(600036.XSHG),多,6000股,6000股,10.11,60660,1320,9.89,-,0,300,0股,2.22%,10%
2014/4/16,股票,长江电力(600900.XSHG),多,5200股,5200股,5.98,31096,728,5.84,-,0,104,0股,2.40%,5.13%
2014/4/16,股票,宁波银行(002142.XSHE),多,6700股,6700股,8.99,60233,938,8.85,-,0,335,0股,1.58%,9.93%
2014/4/16,股票,上海机场(600009.XSHG),多,1200股,1200股,13.1,15720,744,12.48,-,0,36,0股,4.97%,2.59%
2014/4/16,股票,万科A(000002.XSHE),多,7300股,7300股,7.87,57451,-1898,8.13,-,0,803,0股,-3.20%,9.47%
2014/4/16,股票,格力电器(000651.XSHE),多,2000股,2000股,30.44,60880,4720,28.08,-,0,640,0股,8.40%,10.04%
2014/4/16,,Cash,,,,,320427.65,,,,,,,,
2014/4/17,股票,招商银行(600036.XSHG),多,6000股,6000股,10.09,60540,1200,9.89,-,0,-120,0股,2.02%,10.02%
2014/4/17,股票,长江电力(600900.XSHG),多,5200股,5200股,5.93,30836,468,5.84,-,0,-260,0股,1.54%,5.10%
2014/4/17,股票,宁波银行(002142.XSHE),多,6700股,6700股,9,60300,1005,8.85,-,0,67,0股,1.69%,9.98%
2014/4/17,股票,上海机场(600009.XSHG),多,1200股,1200股,13.18,15816,840,12.48,-,0,96,0股,5.61%,2.62%
2014/4/17,股票,万科A(000002.XSHE),多,7300股,7300股,7.75,56575,-2774,8.13,-,0,-876,0股,-4.67%,9.36%
2014/4/17,股票,格力电器(000651.XSHE),多,2000股,2000股,29.86,59720,3560,28.08,-,0,-1160,0股,6.34%,9.88%
2014/4/17,,Cash,,,,,320427.65,,,,,,,,
2014/4/18,股票,招商银行(600036.XSHG),多,6000股,6000股,10.01,60060,720,9.89,-,0,-480,0股,1.21%,9.96%
2014/4/18,股票,长江电力(600900.XSHG),多,5200股,5200股,5.92,30784,416,5.84,-,0,-52,0股,1.37%,5.10%
2014/4/18,股票,宁波银行(002142.XSHE),多,6700股,6700股,8.97,60099,804,8.85,-,0,-201,0股,1.36%,9.96%
2014/4/18,股票,上海机场(600009.XSHG),多,1200股,1200股,13.07,15684,708,12.48,-,0,-132,0股,4.73%,2.60%
2014/4/18,股票,万科A(000002.XSHE),多,7300股,7300股,7.78,56794,-2555,8.13,-,0,219,0股,-4.31%,9.42%
2014/4/18,股票,格力电器(000651.XSHE),多,2000股,2000股,29.68,59360,3200,28.08,-,0,-360,0股,5.70%,9.84%
2014/4/18,,Cash,,,,,320427.65,,,,,,,,
2014/4/21,股票,招商银行(600036.XSHG),多,6000股,6000股,9.84,59040,-300,9.89,-,0,-1020,0股,-0.51%,9.86%
2014/4/21,股票,长江电力(600900.XSHG),多,5200股,5200股,5.89,30628,260,5.84,-,0,-156,0股,0.86%,5.12%
2014/4/21,股票,宁波银行(002142.XSHE),多,6700股,6700股,8.85,59295,0,8.85,-,0,-804,0股,0%,9.90%
2014/4/21,股票,上海机场(600009.XSHG),多,1200股,1200股,12.8,15360,384,12.48,-,0,-324,0股,2.56%,2.57%
2014/4/21,股票,万科A(000002.XSHE),多,7300股,7300股,7.66,55918,-3431,8.13,-,0,-876,0股,-5.78%,9.34%
2014/4/21,股票,格力电器(000651.XSHE),多,2000股,2000股,29.02,58040,1880,28.08,-,0,-1320,0股,3.35%,9.69%
2014/4/21,,Cash,,,,,320427.65,,,,,,,,
2014/4/22,股票,招商银行(600036.XSHG),多,6000股,6000股,9.94,59640,300,9.89,-,0,600,0股,0.51%,9.91%
2014/4/22,股票,长江电力(600900.XSHG),多,5200股,5200股,5.89,30628,260,5.84,-,0,0,0股,0.86%,5.09%
